197 10640
12 179 40
4 96 783
71 50 134
164 9 550
75 51 529
134 59 561
175 145 398
154 86 961
168 127 483
101 116 332
189 103 151
127 21 933
132 122 889
29 168 389
176 72 647
24 163 437
106 164 398
57 18 62
156 119 762
33 145 346
56 129 721
142 132 456
15 103 958
184 143 409
179 140 759
39 17 860
19 17 859
47 176 614
195 93 222
101 60 36
40 23 672
60 14 853
99 136 757
49 157 450
138 149 990
149 166 275
79 171 541
114 167 234
157 171 632
1 197 537
183 13 130
125 106 440
60 41 168
29 194 805
137 18 803
178 104 115
178 140 563
43 110 147
160 158 900
153 176 611
165 69 732
36 57 621
109 182 920
17 187 289
87 35 727
23 186 555
167 22 593
129 86 166
107 180 365
128 60 325
132 81 847
33 63 118
111 185 613
94 29 245
156 96 94
114 23 202
166 165 120
184 83 906
29 152 821
55 118 231
33 98 489
49 176 826
96 47 760
109 21 342
178 144 466
118 192 595
115 62 605
196 3 837
80 40 809
28 193 889
153 69 646
79 25 328
197 170 752
139 98 958
124 31 339
36 187 599
57 80 764
86 142 963
149 67 753
111 136 441
167 95 266
139 2 617
40 134 879
85 20 825
69 162 262
11 150 519
152 49 993
140 35 353
165 64 118
158 41 20
88 182 884
182 107 545
140 89 589
158 169 471
191 7 422
22 20 339
92 136 184
59 55 741
66 79 209
19 29 656
46 73 746
40 156 530
157 71 23
180 23 267
28 37 591
136 46 170
137 120 409
158 12 901
86 103 45
152 68 117
131 109 581
79 136 522
129 13 64
104 146 8
102 39 972
175 113 552
118 2 797
112 175 234
189 44 468
42 8 400
122 55 688
156 62 472
130 118 784
186 21 893
171 196 272
196 13 346
81 136 964
53 30 318
88 92 186
45 29 339
191 112 451
54 67 675
196 173 749
184 118 566
125 100 489
112 48 21
69 37 630
109 26 796
196 45 685
102 131 803
86 121 341
147 156 827
177 95 14
56 194 663
110 168 624
73 55 854
69 176 681
99 154 237
148 135 300
42 112 699
164 122 24
17 115 923
129 13 427
49 163 337
151 114 707
183 82 861
83 64 950
69 162 867
103 79 293
56 8 779
93 71 691
94 140 815
19 194 426
62 19 401
182 61 280
10 169 66
151 93 540
183 136 279
61 144 692
87 66 937
155 178 285
53 81 646
6 167 725
160 106 65
71 190 1000
69 76 985
40 58 563
66 25 56
23 69 372
78 121 11
143 145 188
168 96 33
132 160 539
146 167 675
28 81 219
177 65 498
133 116 92
141 173 905
73 114 629
134 126 575
7 89 957
43 119 86
80 161 791
24 89 519
186 167 798
135 111 419
57 54 53
130 171 3
50 74 66
43 170 253
65 41 541
81 86 701
185 91 52
2 151 887
59 193 17
50 13 995
62 6 825
195 168 464
167 14 299
86 60 293
28 131 53
32 94 280
17 81 591
58 109 487
