110 4171
28 36 409
105 77 329
67 51 274
53 7 665
101 96 498
11 85 410
5 80 397
62 22 343
20 66 33
71 69 233
100 35 953
102 26 142
90 38 952
37 43 528
42 31 427
107 99 36
68 71 726
96 90 346
55 106 555
75 35 935
61 90 365
76 44 642
12 107 847
25 6 627
23 32 772
11 10 537
38 1 993
73 102 214
58 26 938
77 107 895
102 12 99
67 94 213
83 105 789
47 71 556
56 3 874
93 73 682
102 79 534
96 20 897
15 30 214
4 8 647
53 103 875
57 25 223
58 63 38
66 91 504
14 16 576
63 78 541
60 18 64
77 10 589
7 73 135
6 30 112
95 40 125
62 1 4
68 7 538
55 39 887
34 35 155
109 106 804
6 43 496
20 91 633
27 59 237
96 21 345
52 91 7
34 27 974
65 24 956
47 5 588
107 45 163
105 110 460
20 104 688
75 110 44
7 101 992
97 11 94
4 67 710
36 82 529
92 61 388
93 22 464
68 53 806
19 32 471
13 34 435
52 79 38
3 18 6
86 30 94
1 65 991
39 33 925
62 9 394
34 93 546
103 106 353
42 14 966
54 7 945
70 11 164
48 15 197
99 89 308
105 31 846
47 20 423
75 45 179
109 41 981
49 65 753
109 88 913
36 96 54
102 7 793
87 109 942
81 14 132
89 93 6
80 52 276
2 102 939
30 63 938
64 101 654
36 76 490
10 13 206
45 44 761
62 68 830
21 82 442
73 86 754
58 77 336
39 103 998
21 42 894
85 57 120
108 76 417
73 107 139
15 77 774
7 14 592
24 55 76
20 52 654
99 18 634
106 83 957
109 34 505
56 32 104
35 67 823
49 48 821
43 56 827
26 12 929
4 49 409
78 93 522
102 30 488
91 65 347
102 101 548
37 29 560
50 97 7
63 23 824
32 104 130
65 45 619
100 40 626
96 68 554
58 95 654
10 57 964
61 41 885
19 100 438
77 16 250
97 74 248
76 46 124
98 37 335
10 9 478
3 50 56
62 97 196
11 89 797
90 95 671
6 9 164
43 104 350
18 35 462
64 74 124
38 33 534
32 45 165
88 5 951
56 103 779
85 19 250
4 57 650
88 17 925
98 70 139
44 18 753
18 90 434
101 18 788
21 5 171
34 35 266
6 81 45
31 49 697
1 8 596
70 40 181
109 90 153
48 69 158
75 70 751
48 100 411
13 98 180
94 29 114
62 78 483
3 57 481
103 42 35
8 12 203
11 102 70
102 14 413
19 33 807
44 48 637
47 98 747
24 6 806
70 16 583
48 62 649
103 43 524
98 7 734
1 70 134
43 17 853
39 98 644
11 12 32
83 57 427
3 70 47
82 68 733
83 101 241
106 83 44
31 5 30
82 18 503
10 102 166
27 76 643
74 99 767
53 12 328
59 30 131
98 18 190
2 69 55
65 1 911
10 28 482
33 74 387
48 84 379
64 37 456
41 68 735
1 49 726
46 30 533
85 26 243
60 53 1
4 71 768
15 58 234
71 49 333
109 15 257
84 42 15
30 66 278
99 24 150
86 50 425
94 104 651
28 87 834
89 106 787
12 92 760
25 94 324
7 49 516
26 21 78
42 48 185
49 58 801
78 94 979
64 35 653
96 33 155
3 2 356
23 93 451
92 26 941
12 48 201
17 99 794
59 4 464
19 35 950
9 86 24
69 57 730
18 73 456
54 70 801
67 14 856
1 92 930
83 42 698
87 39 677
78 67 701
71 35 146
33 37 827
71 66 399
92 74 428
94 30 679
35 36 694
37 13 969
8 107 58
15 72 294
96 94 780
105 76 461
41 44 656
91 25 627
41 89 807
82 60 374
52 21 542
60 102 141
42 14 20
57 37 131
24 93 311
20 13 234
54 5 447
57 38 999
108 31 511
60 77 313
109 4 871
11 36 464
14 98 585
68 66 967
65 37 967
95 29 458
69 51 398
10 7 907
1 35 553
88 71 755
16 91 947
75 94 294
92 5 306
97 105 216
4 78 123
32 58 488
42 110 258
55 77 704
76 92 858
32 27 995
33 1 393
56 78 56
66 16 416
3 38 291
51 92 519
43 84 761
10 75 403
68 49 999
12 96 339
105 56 194
97 85 243
79 61 868
48 55 985
26 28 71
44 63 942
110 72 605
76 23 651
73 42 375
71 45 209
96 46 982
15 84 510
7 10 664
52 102 629
56 99 874
27 106 898
83 22 292
94 53 940
19 71 103
36 106 447
40 54 979
56 19 127
6 97 378
83 95 807
32 54 86
90 51 702
82 5 127
3 15 693
17 59 73
27 13 297
66 62 509
66 88 418
58 69 824
59 55 276
45 84 651
80 93 363
8 1 439
43 41 925
18 42 458
22 71 105
69 38 706
23 33 920
92 5 584
21 52 878
38 14 69
108 36 580
104 57 698
95 82 684
61 52 972
64 89 591
71 20 49
2 65 703
89 26 910
49 79 333
79 37 789
24 78 258
7 59 533
68 55 274
50 58 773
90 92 186
69 50 127
69 64 965
31 57 20
107 20 138
3 25 77
74 75 210
91 46 941
14 81 751
15 39 79
92 26 90
85 73 793
89 87 224
44 67 198
64 2 707
19 11 416
99 56 163
34 10 171
4 52 240
90 45 375
104 84 543
14 13 472
84 69 98
100 63 844
91 85 645
30 46 392
58 6 717
8 26 445
48 53 902
8 31 560
94 90 696
41 10 221
9 48 265
55 84 37
86 39 512
83 23 507
79 101 113
11 10 559
61 100 208
30 72 566
101 82 477
7 75 863
92 74 696
79 49 331
19 8 797
106 65 563
7 36 117
32 101 417
32 55 450
47 9 603
101 34 702
65 100 56
83 109 552
43 31 228
4 50 28
18 11 833
71 23 561
79 7 370
1 86 979
57 23 958
5 106 341
55 8 19
104 77 252
53 38 544
28 72 366
95 57 236
47 82 71
47 77 630
19 17 243
26 50 471
46 21 526
66 17 878
90 69 565
87 20 271
110 81 391
11 7 381
21 105 205
104 103 17
21 1 413
82 106 406
97 35 739
38 33 831
17 87 368
100 8 863
86 53 917
77 11 59
78 83 783
57 64 213
105 101 964
29 18 601
97 56 798
31 89 573
8 101 573
60 24 960
15 27 509
55 22 568
52 63 51
106 9 6
40 72 447
59 70 896
62 42 449
75 18 629
49 81 899
8 37 36
23 64 502
16 30 395
36 51 190
100 97 796
102 18 186
92 30 989
107 49 721
19 23 416
26 91 336
12 48 773
37 7 702
28 57 336
16 64 802
61 21 808
100 26 363
38 41 583
16 8 641
69 11 548
54 34 287
105 21 832
77 39 543
48 10 261
28 72 909
18 98 712
107 106 702
10 14 85
93 105 762
14 110 143
94 40 806
3 105 832
59 68 949
98 107 187
41 53 150
50 49 483
87 83 839
16 69 220
106 77 648
41 109 984
13 23 167
74 50 161
87 16 785
67 108 137
96 42 788
36 102 25
90 94 993
39 53 538
7 69 935
2 12 119
99 3 424
67 31 182
73 74 369
22 57 271
72 18 709
104 106 655
50 28 172
57 23 925
20 34 3
62 95 329
76 18 879
98 29 882
18 58 14
26 72 340
63 80 347
56 74 141
90 9 747
21 26 288
31 86 822
92 50 283
110 61 529
33 47 415
78 81 439
85 110 776
22 39 374
66 98 281
95 109 478
1 73 82
107 60 949
104 52 805
23 55 263
64 110 113
3 73 978
95 87 310
53 25 922
52 98 678
29 27 946
41 31 260
47 101 172
48 49 359
17 1 969
81 96 420
35 99 409
46 72 579
73 18 832
9 63 903
105 42 472
37 19 378
42 74 367
7 85 111
41 42 390
71 62 846
22 66 225
89 82 367
56 96 630
36 82 1
86 99 483
19 101 302
10 51 752
56 69 533
48 98 192
92 15 158
100 71 252
30 74 569
62 83 309
103 65 992
85 65 903
44 22 884
21 8 783
68 107 519
14 103 214
56 92 372
70 101 60
70 104 623
6 60 263
45 55 126
101 65 911
7 38 794
73 15 166
29 77 407
34 108 756
56 82 215
67 102 88
76 36 923
83 66 403
105 110 354
68 14 413
103 66 175
1 41 641
32 58 533
98 83 211
22 48 562
79 72 20
42 87 399
39 38 260
29 102 27
24 39 1000
21 41 263
33 108 271
102 106 135
14 31 432
44 61 29
82 23 594
10 104 511
102 14 775
76 54 912
30 70 957
2 106 129
57 68 406
53 7 863
22 23 361
27 57 556
11 14 993
45 62 673
71 15 231
45 8 665
85 91 874
10 23 788
95 3 342
96 83 11
69 86 149
88 21 691
14 99 602
23 18 572
55 35 235
82 62 298
39 44 806
57 73 340
34 80 936
71 12 341
56 40 460
23 12 906
22 43 869
9 96 252
53 41 897
106 109 989
64 98 743
45 21 985
79 66 331
9 6 215
3 5 581
86 17 669
91 97 831
106 61 769
90 16 380
78 44 869
24 59 843
95 79 273
86 20 674
51 102 999
16 85 818
91 107 881
58 67 41
85 44 16
82 37 771
106 77 255
74 78 288
68 71 178
45 38 930
56 87 284
70 29 174
13 64 678
48 101 372
3 2 139
99 78 928
24 58 739
72 55 18
93 61 532
106 61 252
52 87 235
88 76 725
84 95 833
48 71 471
36 75 108
40 11 257
63 60 317
77 30 923
32 100 754
11 2 478
93 47 81
59 23 381
64 7 49
54 75 375
1 66 22
91 108 673
23 8 396
85 109 796
65 5 502
84 3 197
82 12 840
91 53 594
58 98 207
62 86 961
50 3 859
29 38 117
84 57 433
78 68 12
89 29 485
61 97 858
17 10 216
83 34 832
81 104 260
12 100 236
79 45 262
3 58 690
49 17 910
70 47 586
53 7 71
91 68 758
27 68 268
30 94 342
50 63 882
26 35 351
36 75 759
107 21 17
11 34 444
49 53 460
30 64 90
2 61 174
25 19 412
1 82 352
27 90 700
76 79 823
14 105 613
52 17 417
81 10 188
1 75 987
78 64 693
17 76 547
102 62 180
84 11 788
53 2 342
109 108 279
4 60 881
110 89 67
60 70 707
50 35 495
20 99 676
11 95 166
81 70 998
82 59 784
33 14 846
81 44 222
52 84 299
35 11 603
89 32 323
102 1 780
22 91 849
52 77 31
86 75 577
31 17 778
56 96 852
98 22 440
25 54 347
87 89 536
25 82 329
12 73 726
76 66 193
28 57 116
60 7 543
97 30 332
78 83 949
66 72 198
110 17 694
92 73 321
37 107 605
90 24 472
78 89 434
77 60 117
88 20 935
50 100 373
94 72 799
107 85 688
87 28 153
28 81 100
50 34 19
48 32 96
58 10 4
46 10 394
57 63 127
42 59 29
60 61 635
94 87 698
66 84 782
66 101 197
63 9 499
86 26 204
5 29 794
61 11 21
59 11 109
68 8 326
19 5 268
52 45 879
39 35 557
87 55 557
32 90 973
88 57 678
64 12 540
62 63 939
43 54 740
27 70 267
93 91 234
8 37 732
21 102 724
53 46 25
73 39 946
17 13 890
18 69 851
106 35 876
76 63 280
53 93 780
66 12 160
52 81 428
90 46 324
34 15 419
52 99 562
33 80 925
97 71 611
8 51 406
55 72 568
108 58 34
51 49 271
85 15 54
5 54 944
16 55 631
21 49 690
20 75 309
41 30 183
110 33 391
75 109 401
49 91 683
14 75 287
109 89 255
5 44 521
89 55 180
67 35 462
110 13 678
60 55 165
74 31 722
47 50 917
20 49 930
54 98 631
96 37 238
92 35 694
75 9 844
98 74 297
49 103 284
17 73 360
30 91 425
86 50 250
11 33 302
13 62 37
71 96 269
57 44 885
42 25 170
39 44 740
103 77 998
40 79 642
49 53 548
74 89 110
1 44 328
75 52 927
74 84 669
98 1 577
79 54 62
71 61 433
46 49 83
100 19 624
48 109 9
15 80 347
101 65 534
38 35 251
48 86 62
22 96 931
76 49 745
75 102 375
99 22 846
107 87 351
7 108 23
56 103 306
20 2 337
107 10 476
38 95 301
41 26 985
66 62 380
91 24 142
3 28 354
49 46 135
100 62 478
104 3 971
32 51 562
91 50 954
73 94 234
39 37 592
22 4 969
80 83 827
21 15 831
8 70 904
11 21 161
63 15 244
70 1 311
5 13 582
59 57 830
66 14 196
83 24 330
23 100 292
53 77 761
43 58 147
83 79 940
108 65 823
68 20 267
80 96 244
81 70 569
89 100 587
18 39 36
47 42 229
90 106 715
37 24 286
24 22 871
107 67 844
40 71 507
42 22 873
2 15 164
15 72 96
56 39 792
82 46 92
56 90 120
71 102 977
35 17 748
72 77 97
9 46 728
14 24 87
95 76 336
84 60 638
105 13 997
105 3 687
27 95 183
32 91 840
104 55 91
3 63 819
88 24 360
66 52 285
1 110 758
102 93 964
96 60 67
50 10 279
14 41 670
90 108 122
31 16 734
77 62 372
93 75 234
34 11 617
6 88 792
104 83 720
80 105 535
47 66 743
24 62 247
52 27 396
9 109 231
54 53 676
95 23 73
57 75 575
6 67 180
66 87 507
87 56 316
74 84 286
18 17 519
77 37 729
89 69 167
89 94 340
21 53 174
7 26 963
88 69 260
64 7 670
57 24 120
109 92 943
31 25 266
81 58 693
70 98 872
73 48 486
98 17 812
9 96 791
72 47 496
91 69 634
7 12 655
78 15 627
43 32 265
16 104 467
1 81 219
39 89 485
13 16 912
44 8 755
14 55 438
3 49 259
42 86 125
9 47 233
8 42 502
75 95 303
58 4 2
15 109 377
36 94 805
107 58 520
31 9 70
13 102 426
41 95 823
78 81 428
60 76 842
65 42 982
6 12 257
57 106 804
74 35 901
7 57 927
86 4 752
4 6 98
95 85 555
8 59 182
86 30 661
98 89 140
50 92 712
72 108 978
94 107 574
36 47 729
21 33 29
74 27 259
78 81 55
41 105 198
94 26 128
8 84 540
19 104 96
13 81 753
67 106 852
85 15 914
103 95 129
92 48 203
31 41 143
49 20 351
103 44 392
20 77 455
94 20 578
10 82 235
15 70 134
29 101 627
72 91 143
72 49 146
79 65 774
85 56 313
29 97 513
27 89 745
6 26 663
97 73 735
10 22 863
35 36 728
57 2 351
17 108 15
82 9 177
92 21 981
54 20 116
12 43 12
100 56 643
28 3 622
38 58 893
98 49 840
13 106 265
60 26 36
33 44 118
27 43 899
56 92 132
108 70 244
88 46 876
71 73 364
84 101 907
26 24 688
40 85 615
43 100 767
50 43 279
80 68 620
96 13 861
68 31 634
60 37 81
29 55 902
20 31 321
92 34 812
59 3 695
59 103 782
66 60 148
96 41 142
33 25 784
59 40 842
71 83 642
97 79 377
11 61 972
12 63 376
104 89 28
