147 242
89 53 -13
40 60 31
117 24 -22
24 7 -5
100 98 33
37 134 2
72 112 61
72 59 88
140 57 -8
105 63 49
144 63 -14
116 111 96
105 76 52
49 113 98
55 14 8
23 121 -50
107 77 69
49 35 17
44 122 -23
94 125 49
70 38 96
32 130 -8
46 123 74
37 100 -37
58 27 43
30 84 27
36 105 -20
128 106 -50
72 9 25
29 31 -26
92 145 -38
56 55 54
72 17 81
55 29 29
130 127 57
99 21 32
132 26 -44
71 109 90
18 138 52
143 111 76
91 64 13
49 35 92
50 143 -41
3 97 -32
37 127 46
143 41 -22
69 28 54
141 100 88
123 141 9
119 90 -33
117 38 -16
133 54 44
46 31 69
56 1 67
139 46 18
11 17 -2
72 108 -12
19 91 18
8 108 -22
53 49 58
34 91 65
74 28 73
29 129 -17
133 96 -48
54 25 0
27 87 -46
96 19 82
42 132 -48
84 91 -18
130 145 3
34 132 8
140 93 0
69 88 -49
76 20 72
73 136 95
15 53 40
56 14 30
82 128 88
123 117 29
131 65 -1
90 129 11
53 116 -39
1 95 43
129 23 89
69 89 -5
38 81 77
11 41 -43
136 25 82
21 32 18
7 44 -50
70 33 51
135 131 67
123 7 98
41 145 -31
11 138 -10
127 81 41
131 10 55
112 106 -22
87 61 53
143 50 76
135 10 97
128 145 12
80 47 -29
98 24 40
77 141 60
40 90 58
142 106 43
92 115 34
19 104 68
3 124 37
133 18 -28
97 116 -29
60 48 -23
92 6 48
30 62 78
139 106 2
71 80 72
80 55 -41
118 141 -20
99 47 96
137 134 54
6 17 65
7 124 54
135 25 35
79 36 11
59 119 81
112 21 30
98 116 70
35 139 18
141 76 41
114 116 -4
45 28 31
99 103 57
60 26 97
37 80 25
47 111 96
41 58 -50
146 53 35
44 118 56
105 114 29
129 102 -12
111 30 66
121 66 -39
143 80 56
11 20 7
112 70 98
78 69 -23
87 36 5
72 103 -44
13 125 70
98 145 -2
11 3 18
1 20 3
106 55 8
91 19 30
146 70 -11
147 65 -4
73 85 5
40 145 27
16 64 5
79 90 59
49 77 -3
124 30 -24
85 121 19
122 64 -6
25 68 -37
14 67 47
2 129 40
62 146 10
117 113 -47
68 33 87
53 84 -42
88 125 78
58 10 28
129 29 -49
6 58 97
33 66 6
124 144 -9
91 64 73
39 145 23
36 145 69
137 136 51
104 4 31
14 121 -35
93 53 64
143 8 53
112 86 19
76 37 -34
90 86 25
62 86 19
74 54 88
117 32 77
58 118 91
22 71 99
111 44 90
9 62 71
141 80 -5
108 73 29
70 86 -44
131 21 52
64 144 100
97 115 1
30 91 42
50 11 58
8 3 -49
29 69 22
99 112 -39
111 36 82
125 91 63
92 57 69
50 16 -7
102 144 20
146 140 75
51 23 84
30 80 66
113 1 96
107 130 83
51 131 -11
37 58 60
92 60 89
114 90 79
24 133 90
22 9 -12
119 49 6
76 2 -6
125 28 -46
68 22 2
43 77 -50
145 62 85
52 141 39
24 99 30
14 86 88
52 14 62
37 118 1
140 94 48
54 50 60
96 120 31
38 60 28
46 75 51
4 49 58
115 18 44
132 35 74
