150 212
8 66 -34
14 47 4
32 134 -49
6 41 19
47 75 85
45 143 -25
7 23 2
45 41 -36
41 27 60
133 87 -12
82 104 5
48 144 52
85 29 93
89 44 -41
77 82 36
82 136 83
113 5 100
7 111 59
7 54 -48
55 14 72
122 120 -12
10 2 42
52 94 20
27 89 -25
80 122 45
60 33 41
15 9 91
30 4 99
84 97 58
63 129 50
65 96 80
69 144 -39
21 72 -35
147 112 69
81 89 28
150 31 39
55 125 -12
57 68 57
122 95 -15
115 54 -38
102 23 -35
29 139 44
31 145 54
46 120 -32
43 22 -50
81 2 -29
3 45 -24
5 93 -17
70 79 -1
69 139 31
21 6 86
123 89 -44
145 69 23
100 104 74
10 119 21
39 78 -27
9 91 53
10 39 74
48 133 -42
68 133 88
56 106 95
89 148 47
100 49 15
3 147 56
28 43 2
134 14 80
102 82 -9
112 25 -34
64 12 85
44 102 -13
85 136 70
133 95 10
110 138 88
32 121 32
114 6 -26
147 109 22
61 38 -39
103 80 35
47 150 -20
19 67 -45
87 69 30
18 102 100
118 141 -40
100 102 32
7 108 -20
131 120 -18
113 74 16
59 57 19
41 148 38
116 142 31
17 75 84
53 67 89
117 40 34
135 12 15
11 9 25
105 24 -30
85 97 46
52 143 -4
94 113 -24
114 133 44
62 71 -17
40 114 79
90 42 84
70 27 52
106 25 49
52 119 -32
99 144 47
98 147 48
103 13 13
130 149 98
4 150 67
3 102 -25
43 5 -19
58 106 56
86 125 8
75 94 -4
100 41 14
149 16 58
108 97 78
101 47 28
24 99 1
81 67 29
119 23 62
13 54 -11
32 123 66
117 55 81
65 149 31
10 82 65
59 72 -29
94 108 -7
9 12 91
65 106 69
122 40 40
138 63 -24
115 72 -2
90 49 -44
121 75 9
94 37 97
41 6 -31
3 31 81
71 136 77
46 85 16
114 130 -19
39 40 11
143 128 13
87 25 78
66 15 87
36 147 58
124 26 45
51 1 68
9 61 40
102 21 -46
123 113 81
9 14 84
62 7 71
92 36 8
136 31 41
103 115 30
51 6 54
114 100 -24
112 150 83
37 97 -44
137 97 71
64 142 73
113 3 94
15 126 94
117 77 100
33 123 -13
144 35 70
34 35 35
43 103 1
110 8 18
92 25 26
10 64 84
146 135 40
89 29 10
47 17 3
123 58 37
137 26 65
144 102 62
2 116 32
141 72 18
37 97 -42
123 11 -48
109 116 -14
117 14 -9
146 55 62
29 13 63
31 103 9
85 145 90
135 79 -11
122 143 65
39 127 10
17 148 31
118 23 1
17 36 -12
115 97 88
24 48 37
2 115 63
22 150 49
116 98 64
122 85 44
137 139 17
95 105 99
42 89 21
100 16 -1
35 125 38
52 120 80
81 30 -44
22 84 58
27 117 -11
41 73 52
