151 239
146 139 -50
95 13 0
78 24 -17
16 38 49
34 151 24
126 115 68
139 13 72
16 94 -35
126 114 66
115 133 24
134 68 8
89 17 -50
19 80 29
126 2 -8
89 118 -19
80 37 68
151 105 -22
18 21 11
144 89 4
9 85 -37
13 117 54
43 16 78
60 114 69
148 87 63
45 78 -24
41 45 13
78 43 19
148 34 8
7 91 40
57 82 83
119 63 -25
118 81 3
109 21 -32
24 144 14
48 149 -11
124 54 -27
143 4 -50
123 74 99
134 133 96
94 47 -21
96 32 -39
112 48 48
107 150 61
145 5 -4
74 120 -27
116 16 3
77 59 78
42 147 -2
19 38 54
99 81 -4
104 83 68
86 93 -42
64 50 14
69 94 92
106 10 47
130 47 7
106 67 -41
119 12 89
25 103 29
66 22 -46
65 121 88
37 116 84
37 9 -42
90 45 35
70 138 -46
94 30 86
64 132 -24
108 135 46
16 81 49
32 130 10
75 70 80
60 105 63
50 149 25
125 72 1
26 40 67
90 47 -29
109 100 -41
117 38 79
146 97 0
28 38 81
81 149 42
5 57 94
80 65 50
42 135 92
35 71 -12
114 26 55
90 142 25
32 16 33
149 34 87
46 90 6
1 51 94
48 111 -41
90 143 33
34 73 63
150 126 -45
21 57 -24
69 88 28
129 51 82
37 29 66
144 54 -16
18 52 -18
88 104 95
76 113 -14
96 70 79
97 2 16
79 93 27
147 98 -23
61 74 86
99 41 0
56 103 -7
9 57 91
122 107 -2
84 140 21
88 61 87
41 133 -10
55 146 -6
17 37 68
75 66 96
37 83 76
122 66 -47
66 39 -44
76 103 94
62 54 42
131 141 82
27 93 70
10 74 -40
16 67 72
7 16 -44
91 109 83
51 45 51
14 53 34
22 2 2
150 86 6
120 151 98
142 26 79
115 36 97
31 60 -14
127 98 54
43 101 -3
50 54 78
140 31 24
51 130 49
113 95 36
50 38 -10
95 45 -31
79 9 41
6 10 3
127 56 -35
7 30 67
43 128 81
3 36 77
7 22 -26
119 65 33
34 85 68
60 81 62
11 61 87
116 24 -44
110 25 48
40 34 4
94 77 87
62 146 99
128 71 25
28 60 56
79 78 -22
110 43 90
49 24 52
81 139 46
57 79 31
115 138 30
67 112 -18
142 30 -20
46 3 -24
108 39 13
90 18 19
114 63 21
5 120 97
97 110 58
47 147 40
71 145 -16
35 99 -40
26 53 99
52 31 -36
20 109 -21
90 105 69
33 92 18
135 93 -11
116 63 59
134 142 79
124 106 64
82 68 6
66 9 76
93 46 61
15 42 79
6 131 -30
12 4 44
46 96 -13
26 85 57
118 26 -3
115 20 31
135 67 -3
22 139 -1
117 130 65
132 73 35
72 68 -23
94 71 35
111 18 -9
6 91 77
48 73 -12
53 3 74
73 80 67
87 65 81
39 38 -38
81 108 84
108 54 51
67 83 5
62 78 7
8 150 97
41 127 39
2 148 14
19 68 23
67 55 -21
136 27 32
120 13 -17
3 19 -49
16 138 88
29 37 -29
103 3 -15
93 131 6
25 12 -20
133 41 -2
107 26 -33
90 128 4
14 46 33
142 70 65
56 26 -41
5 131 70
90 120 9
121 86 39
82 12 97
