142 3772
1 140 915
128 98 326
69 40 851
67 2 418
94 83 105
106 119 800
10 99 549
33 105 827
140 135 640
114 133 223
111 54 693
88 40 555
84 41 615
46 98 100
3 61 242
62 12 823
133 138 308
97 35 848
37 18 620
57 29 859
127 138 286
16 110 412
47 95 383
38 46 650
91 59 76
49 48 975
112 28 788
34 20 464
6 61 653
72 66 87
95 44 383
35 86 581
45 129 469
138 70 311
111 89 277
133 14 277
44 37 354
63 97 784
32 8 990
79 75 712
18 130 274
17 51 824
67 7 510
7 40 739
127 104 414
106 96 119
122 59 742
100 46 710
86 40 539
6 36 601
59 62 103
6 84 83
26 16 42
56 22 105
65 16 830
132 35 718
24 109 852
79 135 353
91 50 233
22 35 644
50 30 866
73 11 827
121 55 597
24 69 370
28 74 161
34 36 385
51 137 736
118 35 477
2 29 160
13 133 292
133 80 199
21 54 483
58 138 338
8 98 52
140 125 401
14 125 231
42 21 102
22 28 232
32 28 653
123 97 627
88 117 909
111 89 110
96 63 197
17 102 474
67 84 32
88 116 684
125 114 300
71 35 984
34 82 473
68 88 360
115 12 362
116 52 775
59 127 999
41 65 205
40 71 954
138 79 759
139 123 629
36 87 90
15 21 528
35 36 305
11 94 340
134 112 189
24 104 606
24 75 808
48 31 936
136 64 493
21 141 384
59 58 532
31 97 123
44 65 591
36 109 379
90 122 95
129 79 693
43 48 334
130 63 364
139 31 258
31 25 134
119 13 821
96 37 158
94 67 887
81 135 893
35 132 659
48 112 637
123 89 227
131 91 170
83 75 234
5 15 648
46 75 694
68 31 885
51 63 512
14 137 977
92 24 604
8 15 646
12 116 225
130 72 943
75 91 802
131 116 757
76 44 874
92 2 207
119 113 764
92 76 13
5 67 731
18 120 191
107 92 85
65 33 91
87 107 621
51 24 31
21 35 868
89 106 159
85 5 580
36 107 612
70 8 378
43 102 462
8 139 159
65 131 599
74 82 930
110 109 957
9 21 48
109 75 290
132 91 86
123 52 960
137 16 460
66 87 208
59 124 719
98 130 9
95 15 673
59 15 812
4 137 206
82 96 674
33 88 309
1 93 411
74 58 838
1 49 484
129 71 177
117 92 541
67 30 545
53 41 872
123 83 309
89 12 682
82 59 383
5 56 550
107 2 806
89 23 511
139 109 864
99 27 179
140 77 880
91 13 434
127 75 66
12 59 341
28 110 953
64 118 180
55 9 315
36 103 698
28 131 109
123 49 288
44 25 625
65 99 135
14 52 250
93 38 524
90 141 507
132 27 164
14 9 288
128 33 302
107 12 74
97 28 6
50 13 269
63 98 90
141 125 637
106 15 147
6 35 27
93 52 989
116 59 0
96 32 69
121 91 314
137 118 340
125 66 720
86 66 284
82 3 910
53 66 649
43 119 240
77 141 994
50 133 41
51 133 337
32 42 266
57 17 60
44 94 702
8 108 534
33 64 315
62 103 116
101 135 689
22 87 756
52 4 333
105 68 214
130 38 796
130 93 503
39 142 812
128 129 18
96 66 332
116 129 674
25 61 263
41 2 273
93 100 592
80 38 56
110 125 397
116 91 153
116 90 337
141 59 669
71 138 711
54 97 144
110 104 868
116 37 447
119 23 838
139 31 490
47 107 148
124 17 402
124 32 302
140 67 3
57 114 379
88 73 150
13 91 396
90 51 977
114 111 668
26 61 6
91 86 0
105 113 343
46 117 663
50 132 956
15 29 598
105 34 544
107 34 190
104 39 919
139 60 31
108 36 181
107 132 124
116 140 989
23 40 453
84 130 226
41 39 577
97 131 498
138 72 556
131 130 514
117 109 561
115 103 172
68 67 932
64 11 43
53 136 204
120 54 189
79 17 826
90 23 361
89 46 233
124 99 863
75 124 322
111 114 510
136 122 276
55 134 457
73 16 875
12 131 971
121 53 457
27 127 836
38 55 502
111 31 103
24 73 984
82 21 359
84 19 781
32 6 419
50 94 39
90 112 2
27 129 616
130 86 534
41 117 622
40 62 309
45 40 689
117 67 163
142 66 543
117 97 829
21 13 649
4 119 955
88 9 528
96 43 158
16 42 281
49 20 392
63 126 650
140 41 84
28 1 496
25 105 673
36 33 53
86 17 624
16 128 964
56 100 731
115 26 724
18 86 793
70 86 807
89 84 321
54 65 861
16 55 485
133 69 137
111 130 202
17 63 723
116 133 1
44 125 391
8 104 122
139 13 547
40 110 363
137 91 820
130 118 643
21 75 718
66 32 867
96 111 450
59 9 52
67 31 382
99 9 375
122 71 82
10 112 568
6 25 366
113 20 481
7 53 867
37 19 974
115 105 580
83 6 68
110 32 172
12 69 227
135 96 532
125 120 635
120 129 847
115 54 800
40 97 136
29 95 485
37 51 554
45 120 667
77 28 423
21 80 688
98 46 762
10 20 835
128 86 1
136 133 504
23 18 396
66 59 453
79 31 341
88 24 260
109 142 952
113 37 17
29 54 160
12 43 210
35 125 37
96 53 831
108 28 589
72 89 501
14 82 724
19 53 454
117 142 476
112 78 667
28 97 418
97 120 455
124 19 456
59 72 728
31 141 750
102 91 567
25 90 764
133 76 539
88 91 142
72 10 64
63 101 547
6 23 913
47 93 373
128 136 653
29 32 442
130 138 310
22 89 372
39 88 268
15 45 666
139 63 767
124 39 635
121 75 857
91 118 161
63 108 33
82 65 778
108 34 115
59 118 816
57 117 858
76 46 830
82 7 428
96 67 477
122 70 629
115 37 171
98 45 636
119 77 910
131 115 595
42 8 69
119 135 326
58 8 919
30 32 852
52 5 663
14 80 511
1 35 497
42 106 986
8 60 865
123 83 220
57 10 880
10 18 631
134 111 764
34 58 345
116 72 362
134 49 789
61 77 991
105 122 758
53 61 648
22 36 752
121 1 620
124 67 180
80 132 816
65 132 138
118 125 694
91 87 294
89 93 437
125 37 627
66 76 676
33 17 955
49 13 499
54 41 700
39 11 178
81 128 405
107 47 904
12 75 376
8 133 153
23 44 753
60 123 301
25 85 289
110 2 404
9 43 549
28 63 905
116 66 323
115 73 659
119 11 676
123 12 317
35 56 565
138 47 749
100 135 679
18 120 200
128 22 500
86 46 361
81 129 751
53 130 231
109 124 744
104 48 207
29 70 274
27 18 91
73 40 251
96 61 187
34 115 564
115 107 657
89 23 579
94 19 253
22 3 961
135 134 117
97 129 759
82 104 867
137 14 459
117 13 666
5 109 629
134 71 66
39 116 357
114 26 6
32 131 26
114 21 565
37 142 230
82 10 716
107 134 248
73 27 24
6 41 282
59 97 109
62 36 531
40 71 495
102 96 82
99 78 562
85 126 133
30 56 260
108 104 249
138 115 860
104 20 876
125 112 639
135 112 830
78 101 111
54 127 343
12 36 403
51 49 635
114 89 555
10 37 189
21 82 477
51 48 261
23 80 50
136 6 142
47 15 241
60 8 677
31 27 206
35 140 842
138 96 65
2 116 850
77 139 463
83 101 780
109 83 990
23 63 491
86 118 484
138 137 740
63 85 834
55 19 144
11 23 845
76 139 351
96 102 731
116 17 192
72 125 548
117 18 385
44 31 606
54 25 947
1 73 82
77 132 725
135 119 208
73 8 252
91 45 817
6 3 534
44 136 362
36 7 896
34 2 497
27 31 20
42 41 69
100 13 679
78 128 901
48 117 85
4 12 354
85 32 978
85 34 493
12 129 198
132 87 380
11 54 581
9 134 24
78 124 113
2 36 309
39 68 908
97 17 544
64 115 312
44 40 546
53 57 92
59 14 65
66 3 658
132 51 579
123 133 16
109 112 212
56 61 35
54 101 159
86 107 487
62 109 591
138 133 639
135 38 260
44 79 659
32 126 431
102 129 743
42 126 679
137 116 209
127 88 858
113 21 380
33 101 893
15 25 115
127 33 513
122 49 937
77 136 937
115 130 607
138 94 238
137 51 982
96 92 901
124 98 148
42 58 809
83 25 775
136 110 369
139 7 973
48 22 467
72 131 576
20 102 994
111 88 296
131 6 115
18 55 344
87 74 83
117 112 611
6 21 945
27 130 914
16 70 969
95 80 176
31 85 30
74 69 370
51 135 260
16 103 594
79 4 114
131 1 530
16 67 671
119 94 511
19 13 989
65 110 709
124 55 801
110 62 371
40 128 34
136 7 519
81 88 61
16 135 253
1 104 144
45 52 214
98 4 447
121 25 525
95 88 795
19 75 756
72 34 211
125 42 519
79 78 858
94 52 86
140 53 247
124 4 611
54 83 281
130 17 893
131 10 98
71 134 38
11 77 151
104 70 412
25 45 704
81 37 625
32 75 190
68 49 792
39 98 633
67 70 234
133 92 166
124 31 341
111 37 465
89 76 920
13 95 401
138 83 219
46 117 289
118 20 197
11 31 83
142 112 38
23 27 24
84 16 648
100 122 818
30 64 365
141 83 624
41 5 174
110 141 497
130 104 753
120 77 86
94 42 50
61 53 982
140 73 611
142 48 282
128 38 177
110 93 951
17 91 48
66 30 579
117 20 518
6 86 656
5 55 700
83 46 415
29 20 500
11 110 979
74 71 550
133 139 218
108 94 687
18 61 493
141 74 22
60 22 533
14 5 693
85 53 896
139 1 595
102 98 350
13 76 364
87 97 815
3 63 126
107 22 264
96 127 825
108 92 124
22 24 316
95 49 528
36 39 801
84 45 50
94 119 395
142 51 715
36 70 788
112 50 879
115 55 27
49 108 763
42 65 119
19 22 102
115 123 427
86 136 574
104 72 1000
84 16 517
41 79 932
63 129 165
39 112 787
30 33 512
85 15 352
142 53 86
75 23 776
26 39 501
38 41 759
65 43 506
30 49 865
120 38 378
137 41 95
138 135 665
21 73 707
87 88 600
139 112 561
73 83 653
93 85 206
78 52 310
133 97 993
121 42 581
141 113 871
44 90 998
140 58 329
139 87 424
47 40 649
64 79 203
20 4 933
48 54 781
117 114 292
65 135 975
69 127 647
52 34 856
73 100 189
98 116 862
3 4 174
107 93 916
2 55 257
74 8 865
10 113 162
7 101 277
29 47 71
82 102 193
133 65 115
31 116 82
62 122 868
129 61 734
13 70 51
128 109 842
69 50 319
38 75 850
124 140 187
88 28 759
49 66 757
24 85 803
27 133 760
97 61 175
57 71 131
53 96 399
117 64 677
107 83 355
42 101 291
56 54 604
41 22 760
6 94 334
40 135 31
21 17 235
42 125 239
64 17 210
112 67 665
23 33 271
73 94 388
63 75 300
56 18 537
26 140 134
96 68 886
134 20 639
104 106 579
12 14 424
55 32 676
24 2 517
63 53 955
53 126 777
139 106 620
133 21 616
88 97 378
75 95 876
78 36 850
114 25 207
110 104 824
67 121 264
62 106 119
66 85 904
78 53 790
72 67 345
94 47 868
117 15 649
9 122 985
129 20 157
35 137 962
100 79 284
94 72 632
76 119 562
114 125 559
2 124 225
76 134 196
109 66 43
57 108 520
134 117 55
16 133 550
4 3 602
131 99 627
70 135 28
97 125 438
5 110 207
117 139 46
115 27 542
73 26 230
102 130 426
82 139 65
43 68 243
113 39 195
6 130 269
87 127 0
1 92 140
139 100 962
1 114 802
89 40 667
80 141 383
51 27 489
83 67 724
33 91 831
122 135 334
94 10 697
135 30 818
128 139 302
103 38 518
60 53 850
19 56 75
33 99 771
97 113 706
16 69 399
7 142 425
137 142 5
81 137 8
37 123 395
79 69 190
13 34 96
85 99 969
89 26 624
127 44 675
112 137 225
75 31 580
78 51 698
71 107 405
34 57 370
104 19 830
53 56 666
47 138 634
6 68 716
5 118 834
23 105 780
76 43 914
35 72 707
47 56 43
28 24 436
106 116 939
98 32 807
88 102 977
15 100 748
91 47 247
11 55 568
68 16 526
97 86 809
94 36 174
106 96 143
7 95 470
142 92 709
133 74 59
25 107 446
69 66 989
121 133 10
77 142 15
112 124 757
104 142 612
26 20 36
126 129 851
113 31 739
111 10 952
135 90 738
55 28 264
76 47 797
35 98 62
81 108 717
96 127 530
89 124 651
117 84 185
44 20 595
116 3 408
110 77 279
14 98 796
119 100 715
140 43 386
88 9 497
133 54 616
55 70 611
129 134 820
79 19 961
38 83 16
52 98 978
36 38 546
79 114 332
66 21 297
22 102 699
81 4 372
131 32 46
5 15 839
54 136 445
119 126 480
124 121 567
31 59 323
83 96 713
113 124 944
112 6 778
36 6 41
13 92 27
67 81 581
42 46 569
12 102 746
5 60 883
3 42 508
80 91 264
23 64 998
87 19 25
106 125 484
2 74 83
42 126 40
66 12 598
112 121 850
62 47 422
67 59 907
29 140 978
10 98 639
90 94 344
92 130 934
17 24 327
112 28 658
107 132 842
99 11 124
134 72 113
131 104 48
53 109 789
47 76 770
73 25 474
28 12 573
15 135 515
84 130 571
56 73 430
86 36 439
116 135 847
140 83 297
58 62 766
37 19 655
34 86 400
73 58 507
13 38 972
91 79 161
83 138 54
129 103 521
94 51 530
3 56 276
128 141 844
140 105 437
131 41 903
36 100 66
111 48 761
50 9 570
109 25 228
23 123 508
67 126 601
39 44 985
111 69 295
60 96 383
79 71 589
102 10 547
9 46 165
98 27 286
71 3 966
113 122 559
55 2 731
80 95 926
103 124 766
78 92 414
115 124 288
65 101 636
3 52 283
10 44 473
78 71 476
94 37 343
29 35 803
53 46 718
94 37 114
5 109 994
56 141 663
72 120 965
14 138 570
88 103 471
46 134 228
74 21 341
15 51 650
119 67 276
4 133 646
141 75 948
46 59 463
10 132 213
111 133 208
72 140 943
79 115 258
136 107 469
34 7 614
60 128 721
111 57 743
100 92 565
36 44 264
62 68 62
136 77 446
124 60 146
132 4 878
47 111 309
83 13 682
46 86 601
89 25 473
101 21 341
68 129 648
33 119 562
98 84 424
8 110 812
102 85 968
54 8 119
139 37 202
112 109 614
139 95 409
96 52 974
75 3 969
113 100 181
22 30 124
138 101 954
70 137 272
92 107 652
19 60 272
59 44 174
57 97 602
24 22 33
91 2 53
95 126 402
125 36 83
77 132 151
66 133 73
68 78 49
76 51 374
71 52 138
100 32 793
81 100 140
124 14 156
45 71 481
27 68 2
24 124 431
65 89 387
22 114 653
115 62 596
105 88 338
60 41 28
142 111 90
40 16 757
53 67 121
61 7 325
47 84 448
7 122 386
89 125 982
63 118 451
93 4 684
135 21 824
130 78 111
14 58 824
107 90 30
137 84 199
6 116 281
78 118 807
70 123 580
136 87 100
24 45 668
88 1 414
34 26 581
38 67 258
79 78 739
98 70 130
142 109 696
5 23 615
74 23 112
142 47 721
89 136 438
98 133 6
27 38 774
66 64 890
11 84 565
26 73 763
74 77 348
40 120 706
79 91 385
140 13 851
20 141 443
70 78 958
104 121 752
55 39 845
55 27 462
124 6 165
134 81 556
132 85 942
138 25 275
44 47 254
136 31 176
117 112 855
123 12 505
58 14 261
50 114 594
68 123 69
43 66 471
56 83 689
16 129 890
2 39 82
21 14 139
59 42 649
8 115 328
53 116 929
2 15 219
65 35 779
77 14 149
121 120 656
71 19 589
24 101 289
97 109 251
116 74 752
104 7 515
14 31 38
103 99 308
5 19 743
25 139 754
115 109 890
94 40 765
53 39 538
70 94 650
122 8 338
140 38 103
40 92 477
74 101 129
19 48 674
25 9 989
79 29 163
84 49 45
59 21 158
120 140 378
9 20 92
22 72 762
36 42 571
45 41 979
111 69 805
102 9 567
41 16 572
109 27 976
93 124 181
142 69 348
43 104 102
109 113 936
47 73 550
90 29 154
90 141 66
137 100 929
137 14 889
65 78 345
32 66 241
27 46 884
71 80 432
26 92 623
63 128 575
62 111 498
115 21 116
50 41 335
94 54 533
126 116 576
138 81 654
14 53 38
136 60 867
141 104 667
141 25 145
17 62 759
48 40 462
115 36 775
104 15 733
27 42 626
138 59 263
36 104 150
31 52 724
127 18 187
5 129 371
117 69 251
90 111 838
16 72 840
29 140 287
3 107 669
105 29 605
93 52 669
42 100 608
89 71 690
123 5 577
129 23 467
27 50 77
48 47 622
51 137 396
137 82 399
45 56 418
119 90 221
120 57 334
59 78 8
43 38 785
34 53 170
140 33 917
59 81 836
9 93 826
46 44 268
71 43 419
119 107 920
71 77 3
113 76 683
58 1 410
59 10 669
110 125 113
45 4 83
80 124 486
7 80 750
40 28 158
3 66 7
124 126 663
72 28 263
59 31 871
71 48 619
113 30 652
53 90 205
63 40 861
70 39 193
103 129 154
63 133 909
6 25 380
44 65 395
112 22 660
58 76 854
79 108 274
96 21 921
5 91 1000
11 88 780
9 65 476
39 108 98
128 12 767
17 120 425
40 135 262
79 73 581
109 53 443
43 54 742
13 98 92
11 15 157
62 77 467
99 17 779
131 122 226
125 29 423
108 121 120
50 140 159
139 90 943
107 73 284
66 94 726
70 130 59
83 41 166
57 125 984
65 44 435
30 6 342
13 128 910
63 96 775
20 63 566
19 34 454
35 77 684
117 92 80
74 14 599
105 40 460
46 101 119
116 67 958
19 85 127
87 36 666
68 122 147
61 29 957
21 57 961
113 11 279
43 133 109
112 64 904
15 132 419
71 68 811
91 34 670
25 114 353
34 64 892
127 1 101
46 81 554
3 73 531
86 74 869
67 122 239
125 88 77
7 32 138
50 91 280
128 103 840
139 102 665
95 103 976
84 125 779
47 18 864
105 140 933
115 104 131
92 31 438
5 23 935
77 114 314
47 123 243
31 28 311
83 75 28
124 17 638
64 95 530
4 82 910
107 105 630
124 111 422
29 53 986
125 111 446
131 59 834
66 50 228
65 53 209
121 49 566
77 39 521
80 93 694
72 59 217
32 24 430
91 36 878
123 26 351
121 32 333
29 138 837
104 113 466
120 98 575
71 115 383
4 133 30
69 113 838
121 82 190
117 14 645
34 43 558
115 87 549
113 119 998
86 28 591
121 70 481
65 138 288
43 128 924
95 110 475
76 97 126
4 116 242
118 45 432
139 40 379
129 47 925
5 51 229
59 1 793
30 11 123
39 73 0
131 71 785
140 75 76
30 73 363
141 59 594
62 134 150
49 60 314
141 81 878
37 32 642
85 20 367
16 135 709
121 56 969
138 16 608
140 1 391
16 140 644
54 78 586
35 34 695
68 6 82
67 100 969
5 126 529
11 42 464
26 25 539
59 86 234
96 20 527
33 113 518
112 113 498
51 29 792
72 51 756
87 104 624
86 13 561
92 96 673
18 48 100
51 28 338
140 91 177
89 45 486
46 125 564
114 62 938
49 92 503
76 80 315
112 55 758
52 31 782
138 6 535
6 68 528
98 66 676
34 67 146
43 26 71
98 126 312
15 114 602
8 104 852
8 16 776
74 118 780
75 101 343
42 32 120
86 81 328
125 73 531
67 100 717
119 88 347
123 42 959
56 85 779
69 27 87
51 3 631
40 129 59
129 98 961
135 49 922
47 131 708
33 35 612
36 57 889
78 139 106
110 139 211
47 138 338
137 26 931
132 139 706
56 59 906
20 97 544
129 139 324
61 122 198
96 106 283
83 71 375
27 5 282
74 124 194
83 4 56
138 132 279
129 101 971
81 117 120
64 105 254
32 11 315
88 135 678
2 56 947
62 49 590
59 115 655
1 70 183
5 42 26
94 7 754
40 56 312
108 126 48
91 73 354
118 18 31
72 44 851
68 53 413
139 47 794
77 26 447
42 87 557
88 118 481
58 9 325
66 69 860
17 46 595
14 119 209
32 134 915
42 65 804
128 115 12
46 70 353
54 55 183
59 100 653
6 101 839
85 142 733
54 87 23
31 98 355
84 104 906
49 59 954
75 126 534
74 127 734
11 14 657
130 54 403
3 4 846
64 134 29
56 34 337
120 104 105
62 56 463
139 4 279
137 90 556
118 30 800
97 46 45
110 9 379
105 60 223
43 81 671
33 93 162
40 74 77
65 81 27
71 81 599
133 102 890
90 79 967
109 101 202
120 34 656
33 63 893
113 30 46
55 130 258
105 136 483
27 105 732
51 131 132
100 135 385
134 119 860
139 121 576
72 92 86
17 113 598
141 27 357
24 32 867
20 9 421
64 75 774
106 32 900
114 36 538
79 110 940
71 141 622
54 93 308
140 53 791
58 89 977
98 118 424
56 17 755
134 138 320
61 95 319
61 117 78
98 23 452
89 12 132
58 102 916
82 32 670
56 30 316
51 30 207
19 106 506
52 42 614
131 25 96
39 93 308
113 117 208
132 99 335
29 27 554
112 99 278
4 58 487
118 125 907
52 9 702
51 38 67
41 60 389
61 60 891
7 129 656
44 4 281
55 85 83
120 117 932
132 12 43
102 76 224
2 36 820
108 58 104
47 62 431
26 79 724
74 39 611
47 48 533
29 27 675
82 135 803
6 10 796
2 8 120
47 16 171
52 8 864
77 139 169
102 123 457
98 133 8
3 142 662
78 136 570
114 53 954
116 32 924
11 48 873
20 16 414
103 48 102
47 82 912
119 123 928
4 71 290
134 3 1
101 42 356
105 55 405
38 99 715
91 43 599
38 133 591
99 49 977
131 33 500
37 10 143
95 71 831
50 23 414
79 20 713
1 3 631
83 105 762
57 111 83
129 83 265
40 89 698
96 17 190
50 29 988
100 97 878
126 110 257
39 72 355
100 69 816
114 99 409
139 125 428
57 63 308
12 34 691
60 31 385
141 120 924
110 76 637
87 35 458
66 72 729
115 38 194
96 54 459
70 52 18
91 41 875
120 16 574
51 67 874
137 74 672
77 84 633
103 85 2
90 141 850
36 78 230
56 66 844
76 66 616
116 123 651
73 105 318
110 10 547
142 89 673
56 127 710
123 65 611
44 130 797
113 10 341
31 117 61
25 52 665
26 88 655
14 94 73
134 125 698
75 84 638
123 141 197
60 129 784
122 13 661
60 140 268
38 122 78
15 86 186
97 26 317
25 87 21
111 97 617
126 132 968
77 36 304
136 83 444
95 49 388
46 111 347
74 37 654
83 102 970
29 127 171
75 71 820
40 47 835
138 48 973
84 59 339
38 65 74
91 10 906
49 27 555
97 27 928
127 53 146
35 74 426
46 104 838
110 111 203
86 28 757
119 50 905
53 97 764
9 68 763
108 66 727
135 89 2
105 55 781
120 52 630
44 8 524
82 138 816
29 51 153
91 52 386
86 41 583
104 88 809
103 11 681
43 79 639
99 105 467
123 10 666
14 134 652
135 38 715
74 17 801
122 92 823
54 3 902
135 69 819
96 20 837
88 87 319
128 56 426
38 66 769
43 30 230
58 119 782
36 5 537
16 32 639
121 118 966
121 124 860
40 140 752
132 39 363
32 104 574
4 34 581
34 18 909
102 50 272
122 4 831
73 4 871
3 76 144
121 27 555
86 76 932
127 98 166
119 57 962
6 17 792
135 61 38
110 136 739
93 7 388
70 8 63
28 73 630
59 68 324
27 76 760
35 18 479
102 91 282
19 85 8
49 57 424
95 57 769
62 45 894
20 35 613
92 43 316
66 84 498
49 75 292
50 2 685
10 123 836
48 120 190
42 125 593
142 22 214
6 92 907
106 94 377
9 26 607
44 65 145
134 14 605
67 22 820
125 2 264
32 17 848
110 117 209
2 72 856
114 22 779
80 76 658
31 75 3
19 41 846
20 67 458
107 123 408
123 47 13
93 19 605
78 95 387
23 54 949
126 136 267
48 27 986
90 46 678
71 2 868
76 99 593
74 60 195
45 4 713
68 109 215
9 90 749
110 96 536
58 117 168
108 24 203
103 9 868
126 98 505
18 81 168
5 74 638
87 80 832
12 43 59
91 4 914
92 104 159
129 76 856
102 136 711
142 43 542
123 72 572
122 111 130
1 37 293
141 137 561
93 119 700
38 72 695
59 84 57
46 81 677
21 104 872
135 79 714
2 99 823
57 76 734
49 82 731
66 37 929
84 33 639
64 87 528
130 96 422
9 18 621
72 104 142
38 98 725
101 106 203
31 88 894
44 111 969
21 41 299
114 132 785
56 77 28
36 108 596
14 4 365
26 56 888
60 76 61
109 28 792
71 93 101
3 18 21
43 112 680
38 60 289
115 111 234
136 83 630
109 92 404
129 38 434
134 136 557
85 57 688
52 136 968
65 75 908
34 81 443
126 61 47
65 57 631
55 5 923
71 73 653
120 53 282
45 14 897
125 138 937
19 6 320
140 103 549
93 55 103
110 14 371
129 139 107
141 3 430
7 61 417
21 9 238
51 32 971
53 48 563
99 118 242
51 101 433
105 137 97
137 125 958
137 46 399
50 33 2
7 79 62
84 105 119
17 82 897
62 20 804
117 94 239
13 102 970
126 119 289
128 3 336
75 32 498
132 1 231
56 15 624
71 47 456
128 6 899
8 76 141
5 94 951
32 102 859
75 60 71
54 35 132
69 15 776
97 93 277
42 21 624
79 100 401
110 121 591
128 45 72
39 8 896
50 106 107
77 142 899
97 54 614
83 140 787
1 53 376
86 15 487
75 3 476
34 91 241
59 1 543
9 62 123
67 129 705
85 137 401
106 138 242
111 84 553
122 42 779
66 20 341
24 115 113
87 70 749
136 122 756
124 54 517
26 105 389
43 111 935
27 99 543
69 73 84
31 98 403
133 110 721
93 10 495
90 5 11
80 26 287
116 93 813
77 137 941
15 122 544
65 19 64
74 19 925
134 125 501
140 74 476
34 56 111
58 7 124
76 74 889
122 83 788
135 84 387
80 73 749
79 112 617
110 73 676
109 15 933
38 43 82
60 132 332
13 60 433
30 45 931
111 101 390
54 125 389
23 54 111
128 109 600
140 94 984
105 135 306
115 15 228
28 75 489
44 142 551
120 131 721
73 50 921
69 131 941
27 108 641
60 24 920
111 65 180
60 142 9
110 28 237
53 61 873
131 7 505
119 15 750
119 109 943
132 117 252
77 56 26
81 91 334
93 37 610
44 13 671
40 118 819
105 70 792
16 118 59
46 11 269
136 38 747
68 109 172
141 77 203
93 140 479
111 70 645
132 20 175
120 28 606
32 71 79
93 17 982
71 2 452
60 55 885
63 10 751
97 41 606
96 138 595
44 65 344
109 6 833
94 112 526
103 52 377
81 35 968
56 12 293
71 2 537
35 47 863
17 136 611
2 21 681
112 132 709
58 21 278
10 120 965
28 67 912
117 119 271
79 22 76
3 87 365
34 20 413
67 117 209
99 91 986
25 40 605
38 71 399
13 139 158
135 125 5
75 89 747
139 93 452
20 47 800
83 5 687
120 9 197
140 38 899
70 98 699
101 88 785
30 106 378
97 130 697
23 109 976
75 1 145
101 134 343
17 66 380
113 101 494
53 114 201
100 134 808
92 120 73
1 119 939
105 63 249
56 126 111
31 88 563
94 56 49
132 128 257
6 85 936
7 44 434
135 10 899
106 110 124
141 138 432
119 118 838
135 26 498
14 98 227
9 89 206
78 32 888
15 136 716
122 124 649
2 130 457
89 85 504
113 132 194
105 62 289
131 46 687
42 74 206
8 126 328
105 2 274
1 89 22
78 123 108
39 29 940
136 37 597
117 91 944
134 33 133
5 95 644
136 127 899
134 86 145
34 133 567
30 118 594
65 4 144
84 116 993
61 51 84
32 2 356
122 15 225
123 64 291
130 125 167
103 76 580
126 26 962
103 1 257
93 51 862
10 42 254
1 2 260
53 33 490
123 119 342
96 127 553
114 84 692
51 88 433
40 68 232
80 63 391
15 40 203
2 120 276
120 77 56
16 136 201
108 53 275
96 44 146
84 96 89
90 106 365
76 139 710
49 84 54
114 63 754
28 63 580
72 140 770
69 46 288
38 25 772
74 73 215
56 99 264
108 59 205
45 93 234
64 69 138
138 29 635
135 53 622
19 46 452
127 117 444
32 113 20
46 81 48
61 40 496
104 80 588
135 56 776
109 34 202
74 116 527
111 135 983
98 25 345
134 127 131
29 111 889
136 20 907
75 97 309
59 131 299
47 79 103
33 109 461
137 39 801
124 44 379
73 94 18
36 142 518
25 116 423
113 106 805
131 133 129
38 94 736
38 25 111
133 60 546
88 91 831
49 3 753
28 53 957
71 130 293
83 2 620
68 59 537
51 11 18
18 32 153
15 75 295
115 59 906
89 32 316
129 59 7
74 30 760
122 113 606
126 105 278
141 14 634
115 122 553
80 78 739
22 107 706
131 84 128
55 50 710
